KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIES
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum (former Lactobacillus fermentum)
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus gasseri
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus iners
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus jensenii
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae (former Lactobacillus mucosae)
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Latilactobacillus sakei (former Lactobacillus sakei)
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus spp.
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus vaginalis (former Lactobacillus vaginalis)
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales ,unclassified Corynebacteriales,Lawsonella ,Lawsonella clevelandensis
Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Microbacteriaceae,Leifsonia,Leifsonia spp.
Bacteria,Fusobacteria,Fusobacteria,Fusobacterales,Fusobacteriaceae,Leptotrichia,Leptotrichia  amnionii
Bacteria,Firmicutes,Clostridia,Clostridiales,Unknown,Levyella,Levyella massiliensis
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter xinjiangensis
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,Megasphaera spp.
Bacteria  ,Proteobacteria,Alphaproteobacteria ,Rhizobiales,Methylobacteriaceae ,Methylobacterium,Methylobacterium spp.
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,Mobiluncus curtisii
Bacteria,Firmicutes,Clostridia,Clostridiales,XIII. Incertae Sedis ,Mogibacterium,Mogibacterium timidum
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella spp.
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoanaerobaculum,Moryella indoligenes
Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Murdochiella,Murdochiella spp.
Bacteria,Firmicutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma spermatophilum
Bacteria,Firmicutes,Negativicutes ,Selenomonadales ,Veillonellaceae ,Negativicoccus,Negativicoccus spp.
Bacteria,Firmicutes,Negativicutes ,Selenomonadales ,Veillonellaceae ,Negativicoccus,Negativicoccus succinicivorans
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium spp.
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus darwinianus
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus spp.
Bacteria ,Bacteroidetes,Bacteroidia ,Bacteroidales ,Porphyromonadaceae ,Parabacteroides,Parabacteroides distasonis
Bacteria ,Bacteroidetes,Bacteroidia ,Bacteroidales ,Porphyromonadaceae ,Parabacteroides,Parabacteroides johnsonii
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus limosus
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus marcusii
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus spp.
Bacteria ,Proteobacteria,Betaproteobacteria ,Burkholderiales , Sutterellaceae,Parasutterella,Parasutterella excrementihominis
Bacteria,Firmicutes,Clostridia,Clostridiales,incertae Sedis - Family I ,Parvimonas,Parvimonas spp.
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,Peptococcus niger
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus asaccharolyticus
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus coxii
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus duerdenii
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus gorbachii
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus grossensis
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus harei
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus koenoeneniae
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus lacrimalis
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus obesi
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus spp.
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus tyrrelliae
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,Peptostreptococcus anaerobius
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,Peptostreptococcus spp.
Bacteria,Firmicutes,Clostridia ,Clostridiales,Veillonellaceae,Phascolarctobacterium,Phascolarctobacterium spp.
Bacteria ,Bacteroidetes,Bacteroidia ,Bacteroidales ,Porphyromonadaceae ,Porphyromonas,Porphyromonas asaccharolytica
Bacteria ,Bacteroidetes,Bacteroidia ,Bacteroidales ,Porphyromonadaceae ,Porphyromonas,Porphyromonas bennonis
Bacteria ,Bacteroidetes,Bacteroidia ,Bacteroidales ,Porphyromonadaceae ,Porphyromonas,Porphyromonas somerae
Bacteria ,Bacteroidetes,Bacteroidia ,Bacteroidales ,Porphyromonadaceae ,Porphyromonas,Porphyromonas uenonis
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella bergensis
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella bivia
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella buccalis
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella corporis
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella disiens
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella timonensis
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionimicrobium,Propionimicrobium lymphophilum
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Pseudoclavibacter,Pseudoclavibacter alba
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Pseudoglutamicibacter,Pseudoglutamicibacter albus (former Arthrobacter albus)
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas spp.
Bacteria ,Proteobacteria,Betaproteobacteria ,Burkholderiales ,Burkholderiaceae ,Ralstonia,Ralstonia mannitolilytica
Bacteria ,Proteobacteria,Betaproteobacteria ,Burkholderiales ,Burkholderiaceae ,Ralstonia,Ralstonia spp.
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Unclassified Rhodospirillales,Reyranella,Reyranella soli
Bacteria  ,Proteobacteria,Alphaproteobacteria ,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium radiobacter
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia faecis
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia inulinivorans
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia spp.
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus ,Ruminococcus bicirculans
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus ,Ruminococcus bromii
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus ,Ruminococcus faecis
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus ,Ruminococcus obeum
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus ,Ruminococcus spp.
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus ,Ruminococcus torques
Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Slackia,Slackia exigua
Bacteria,Fusobacteria,Fusobacteriia, Fusobacteriales,Leptotrichiaceae,Sneathia,Sneathia sanguinegens
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Solobacterium,Solobacterium moorei
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium multivorum
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas spp.
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus haemolyticus
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus hominis
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus lugdunensis
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus spp.
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus anginosus
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus dentisani
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus gordonii
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus infantis
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus milleri
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mitis
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus spp.
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Subdoligranulum,Subdoligranulum variabile
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,Terrisporobacter glycolicus
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella,Tyzzerella nexilis
Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Ureaplasma,Ureaplasma parvum
Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Ureaplasma,Ureaplasma urealyticum
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,Varibaculum cambriense
Bacteria,Firmicutes,Negativicutes,Vellionellales,Veillonellaceae,Veillonella ,Veillonella montpellierensis
Bacteria,Firmicutes,Negativicutes,Vellionellales,Veillonellaceae,Veillonella ,Veillonella parvula
Bacteria,Firmicutes,Negativicutes,Vellionellales,Veillonellaceae,Veillonella ,Veillonella ratti
Bacteria,Firmicutes,Negativicutes,Vellionellales,Veillonellaceae,Veillonella ,Veillonella spp.
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas spp.
